link_name,group
link_1100,4
link_1147,3
link_1148,3
link_1153,4
link_1154,4
link_1155,4
link_1156,10
link_1157,14
link_1158,14
link_1159,11
link_1160,5
link_1162,4
link_1163,3
link_1164,4
link_1165,4
link_1166,5
link_1167,13
link_1168,4
link_1169,3
link_1170,5
link_1171,11
link_1172,5
link_1173,5
link_1174,11
link_1175,13
link_1176,13
link_1177,3
link_1178,4
link_1179,4
link_1180,4
link_1181,3
link_1182,3
link_1183,10
link_1184,10
link_1185,3
link_1186,5
link_1187,3
link_1188,13
link_1189,3
link_1190,13
link_1191,3
link_1192,10
link_1216,13
link_1217,13
link_1218,5
link_1219,4
link_1220,5
link_1221,10
link_1222,5
link_1224,10
link_1230,5
link_1231,13
link_1232,5
link_1233,4
link_1234,10
link_1235,4
link_1236,4
link_1237,4
link_1238,11
link_1239,4
link_1240,4
link_1241,5
link_1242,10
link_1243,10
link_1244,13
link_1245,13
link_1246,13
link_1247,10
link_1248,10
link_1249,3
link_1250,4
link_1251,4
link_1252,3
link_1253,4
link_1254,10
link_1255,13
link_1256,13
link_1257,13
link_1258,10
link_1259,10
link_1260,4
link_1275,4
link_1277,13
link_1278,10
link_1279,13
link_1280,10
link_1307,3
link_1308,3
link_1309,3
link_1310,3
link_1311,3
link_1312,4
link_1313,4
link_1314,10
link_1315,4
link_1316,3
link_1317,4
link_1329,13
link_1330,13
link_1331,10
link_1332,10
link_1339,13
link_1340,4
link_1351,3
link_1363,3
link_1364,13
link_1367,10
link_1369,10
link_1373,13
link_1381,3
link_1384,3
link_1385,4
link_1389,5
link_1445,4
link_1453,3
link_1454,11
link_1455,3
link_1456,5
link_1457,3
link_1458,4
link_1459,3
link_1460,3
link_1461,5
link_1465,11
link_1466,3
link_1467,5
link_1469,4
link_1470,10
link_1481,5
link_1482,11
link_1485,3
link_1486,5
link_1487,10
link_1501,5
link_1510,4
link_1511,3
link_1512,13
link_1519,13
link_1520,13
link_1521,3
link_1522,13
link_1523,5
link_1524,13
link_1525,10
link_1530,13
link_1531,4
link_1535,4
link_1541,4
link_1546,13
link_1547,5
link_1548,13
link_1549,13
link_1550,4
link_1551,4
link_1552,4
link_1553,13
link_1554,4
link_1555,13
link_1556,3
link_1557,3
link_1558,13
link_1576,13
link_1577,13
link_1578,13
link_1579,13
link_1580,4
link_1581,13
link_1582,8
